Key,English
attUnlocksDesc,Check items what you unlocked.
attUnlocksDescRank1Desc,Unlock crafting
attUnlocksName,Unlock Tracker
skillunlocksModsName,Mod
skillunlocksFoodsName,Food
skillunlocksArmorsName,Armor
skillunlocksApparelsName,Apparel
skillunlocksAmmosName,Ammo
skillunlocksResourcesName,Resource
apparelLongShirtGroupDesc,N/A
modRoboticDroneCargoDesc,N/A
modRoboticDroneMedicDesc,N/A
modRoboticDroneHeadlampDesc,N/A
modRoboticDroneArmorPlatingDesc,N/A
modRoboticMoraleBoosterDesc,N/A
